RANK,技名,YoutubeURL,技の説明,ポイント
START01,基本姿勢（両足）10秒,https://youtu.be/QLrjCAhxs1k,ライン上に両足で10秒間立つ,"・両手は横から上へあげる。
・ラインに対して、足をまっすぐ乗せる。"
START02,リカバリー（右）10秒,https://youtu.be/G_3PFqnBOwc,ライン上に右足を軸足にして片足で10秒間立つ,・両手と膝を使いバランスを取る。
START03,リカバリー（左）10秒,https://youtu.be/qOxYjLTO_Hw,ライン上に左足を軸足にして片足で10秒間立つ,・両手と膝を使いバランスを取る。
START04,逆スタンス（両足）10秒,https://youtu.be/a_4bGhtcIa4,ライン上に両足で10秒間立つ(逆スタンス),"・両手は横から上へあげる。
・ラインに対して、足をまっすぐ乗せる。"
STATIC01,ウォーク,https://youtu.be/byZq1PmwXRc,端から端までゆっくりと歩く,"・両手は横から上へあげる。
・ラインに対して、足をまっすぐ乗せる。
・膝を軽く曲げてバランスを整える。"
STATIC02,ウォーク→スクワット→ウォーク,https://youtu.be/wu-txyGgFYk,端から歩き始め、中央で座る、一度静止して立ち上がり最後まで歩く,・背中を丸めないように、素早く膝を曲げる
STATIC03,ドロップニー→フットプラント→クルック,https://youtu.be/72rAkkuayJ0,"ドロップニー：後ろ足をラインに掛け、しゃがむ
フットプラント：ドロップニーの姿勢から、前足を伸ばす
クルック：両足の膝を曲げて、脛でバランスを取る","・技の形をしっかりと覚える
・前足と後ろ足の重心を意識してバランスを取る"
STATIC04,ドロップニー→フロントブッダ→ダブルフットプラント→フロントブッダ→ドロップニー,https://youtu.be/gG-1VmKi4V8,"フロントブッダ：ラインに対して、まっすぐ足を組んで座る
ダブルフットプラント：足を組んだ状態で、両足を伸ばして座る","・下半身の力を抜き、上半身でバランスを取る意識を持つ
・後ろに重心をかけて、両足を伸ばす"
STATIC05,バックウォーク,https://youtu.be/lz-JUszkgOg,端から端まで後ろ向きで歩く,・重心が後ろに行きすぎないよう意識してバランスを取る
STATIC06,ドロップニー→クルック→ダブルドロップニー→クルック,https://youtu.be/PzWDOf56Mns,ダブルドロップニー：両足首をラインにかけ、膝を落とす。,・クルックの状態から徐々に形を変えていく
STATIC07,インワード→ターン→ドロップニー→ターン→ドロップニー,https://youtu.be/BLoMDFNWxqk,膝を前足の内側に入れて座り、反転する。さらに反転し、ドロップニーの状態を作る,・頭を中心からずらさないように意識して反転する
STATIC08,モンキー→ワンフットグラブ→Lシット→ワンフットレバー,https://youtu.be/X3Xpz-uj0qI,"モンキー：対角線上の手と足でバランスを取る
ワンフットグラブ：モンキーから片足を前に出して、つま先を掴む
Lシット：ラインを両手で掴み、横向きでお尻を浮かす
ワンフットレバー：モンキーから片足を前に出してバランスを取る","・焦らず技と技をゆっくりと繋いでいく
・ラインを掴んでいる手と足の距離を意識して(狭すぎず開きすぎず)バランスを整える"
STATIC09,スタンド→サイドブッダ→サイドソール→サイドプランク→スクワット,https://youtu.be/TgZI22oDLKQ,"サイドブッダ：ラインに対して、横を向き、足をクロスさせてあぐらの状態を作る
サイドソール：足の裏と裏をくっつけて、側面でバランスを取る
サイドプランク：ラインを片手で掴み、両足を伸ばし、横向きでバランスを取る","・足の側面をラインにしっかりとグリップして技の状態を作る
"
STATIC10,モンキー→ガンビットスワップ→クルック,https://youtu.be/_DVvAHn5GBQ,モンキーの状態から、ラインを掴んだままジャンプして反転し、クルックでキャッチする,"・小さな円を描くように、意識して回る
・キャッチする時は、体の向きをしっかりと反転した方向に向ける"
BOUNCE01,フィート→バット→フィート,https://youtu.be/ClgDZtlu-f8,"フィート：足でラインに立つ
バット：お尻で跳ねる",・ポイントのテキストが入ります。
BOUNCE02,フィート→チェスト→フィート,https://youtu.be/gPkf8FSVE3M,チェスト：胸で跳ねる,・ポイントのテキストが入ります。
BOUNCE03,フィート→バット180→バット→フィート,https://youtu.be/z-_T1w2AaNY,"バット180:お尻で跳ねて、横に180度回転する
※バット180はフロントでもバックでもOK",・ポイントのテキストが入ります。
BOUNCE04,フィート→バット→レディ→スプレドル→バット→フィート,https://youtu.be/IDZ5jQdYY6Q,"レディ：バットの姿勢で、ラインの外側の足を上にして足を組む
スプレドル：バットの姿勢で、ラインの外側の足を後ろに回しラインに掛ける",・ポイントのテキストが入ります。
BOUNCE05,フィート→バット180→バット逆スピン180→バット180チェスト→バット→フィート,https://youtu.be/8-UXp2Cptao,バット180チェスト：バットから180度横回転し、チェストでキャッチする,・ポイントのテキストが入ります。
BOUNCE06,フィート→バット→チェスト→モジョ→バット→フィート,https://youtu.be/-5ogs0BOP6U,モジョ：チェストから180度回転し、チェストでキャッチする,・ポイントのテキストが入ります。
BOUNCE07,フィート→バット180→フィート,https://youtu.be/nNw7FaaGq7M,フィートからバット180し、フィートでキャッチする,・ポイントのテキストが入ります。
BOUNCE08,フィート→バット180→クルック,https://youtu.be/xyTA9eL0Gnk,フィートからバット180し、クルックでキャッチする,・ポイントのテキストが入ります。
BOUNCE09,フィート→バックバウンス→フィート,https://youtu.be/BnJ4JsX1k60,バックバウンス：背中で跳ねる,・ポイントのテキストが入ります。
BOUNCE10,フィート→バット→ナスティチェスト→バット→フィート,https://youtu.be/Kq9YVo4pFUA,ナスティチェスト：バットから、手でラインを掴みながら体を180度回転させてチェストでキャッチする,・ポイントのテキストが入ります。
